,Scheme_Code,Yield_to_Maturity,Avg_Maturity_Yrs,Expense_Ratio,Net_Assets_Cr,adjusted_yield,log_aum,yield_duration_ratio,expense_efficiency,annualized_return,annualized_volatility,max_drawdown,downside_deviation,worst_5pct_return,rolling_vol_mean,rolling_vol_std,return_stability
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,119533,7.01,7.23,0.33,30131,6.68,10.313343008945585,0.9695712309820192,3.0303030303030303,0.08223172744125917,0.013523034057692977,-0.02377539131756236,0.014034419406487647,-0.0006374804409239375,0.011960262649888396,0.0058676777850588495,12602.584005605015
Axis Corporate Bond Fund - Direct Plan Growth,141588,6.91,4.25,0.36,9872,6.55,9.19755903761145,1.6258823529411766,2.7777777777777777,0.07695502756214467,0.020641252225514405,-0.03814347999762031,0.031308422039668056,-0.0005628242952340934,0.01665282685767294,0.01409835612424453,3436.334897785735
BANDHAN Corporate Bond Fund - Direct Growth,135916,6.72,4.16,0.33,15705,6.39,9.66179808393482,1.6153846153846152,3.0303030303030303,0.07441248886888507,0.017163908769991444,-0.034684652364210346,0.016073795206644384,-0.0007864966806092221,0.01395570895285903,0.010671204930199287,5459.719644119599
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,150237,6.88,4.6,0.2,437,6.68,6.082218910376446,1.4956521739130435,5.0,0.07030639007288908,0.012236578090675803,-0.02334542735514797,0.01554638446899936,-0.0006165842440892522,0.009667182703540014,0.0017361845762756,47069.99152743858
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,126685,6.74,4.33,0.36,113,6.38,4.736198448394496,1.556581986143187,2.7777777777777777,0.07610879072629739,0.013085053654882474,-0.020124366073508593,0.011608525065303663,-0.0007229168951837783,0.012152677161332167,0.005107534327640451,14962.811266980316
DSP Corporate Bond Fund - Direct - Growth,144646,6.58,1.47,0.28,2724,6.3,7.9102237070973445,4.476190476190476,3.571428571428571,0.07360428277983933,0.01698678581646556,-0.03176808024987985,0.01815480851358086,-0.0007093093017624007,0.01469578432965568,0.009512682459921007,6188.505613137911
Franklin India Corporate Debt Fund - Direct - GROWTH,118569,6.92,4.18,0.25,1290,6.67,7.1631723908466425,1.6555023923444978,4.0,0.08470214256371578,0.023368565327374562,-0.07360210107866184,0.026949494940173655,-0.0010393162315203708,0.016939066351813952,0.01265385946399449,3381.776818127486
HDFC Corporate Bond Fund - Growth Option - Direct Plan,118987,7.05,6.9,0.36,36134,6.6899999999999995,10.495017203717081,1.0217391304347825,2.7777777777777777,0.0813176095555812,0.017735901449077315,-0.040034480917253486,0.020247962081859874,-0.0009046393102940641,0.014646456974346737,0.008849240317347412,6371.486155210771
HSBC Corporate Bond Fund - Direct Growth,150996,6.73,2.92,0.3,6401,6.430000000000001,8.764365720529808,2.3047945205479454,3.3333333333333335,0.07932322054243834,0.01062883603567083,-0.005842201872310876,0.008035216821497798,-0.000689848738297294,0.010173653634421142,0.0009361659441310303,100498.93376701973
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,120692,7.02,5.52,0.35,34630,6.67,10.45250451367605,1.2717391304347827,2.857142857142857,0.08229253314659712,0.01169669483931953,-0.020074739944038113,0.012437570933785164,-0.00046709500510788704,0.0103869679471284,0.005471691989747558,15624.82630592837
Invesco India Corporate Bond Fund - Direct Plan - Growth,120497,6.88,4.59,0.28,7668,6.6,8.94494150776486,1.4989106753812635,3.571428571428571,0.07498296546507333,0.024838498802734973,-0.04688980609757822,0.023441908304768094,-0.0017205764647544861,0.021642904221378663,0.012144076810371982,3315.2031798572057
Kotak Corporate Bond Fund- Direct Plan- Growth Option,133791,7.01,5.1,0.35,18909,6.66,9.847446161652503,1.3745098039215686,2.857142857142857,0.07728284931928964,0.013900264480928074,-0.019217048207299185,0.01591868487763409,-0.00047470019901624797,0.011597714413052065,0.00824680430299757,8723.509683018872
Mirae Asset Corporate Bond Fund Direct Growth Plan,148755,6.76,4.2,0.24,44,6.52,3.8066624897703196,1.6095238095238094,4.166666666666667,0.06351951717316395,0.009891959081274842,-0.01235262159611883,0.009582199949365721,-0.0005794192179448431,0.009768814867907498,0.0014627929697656411,69109.0342985705
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,118814,7.05,5.28,0.36,10732,6.6899999999999995,9.281078386481525,1.3352272727272727,2.7777777777777777,0.08045415831350256,0.01080410708183131,-0.016975846771679428,0.014037117757294125,-0.0004121602887401987,0.00949605669508757,0.004725242066610752,19587.863027179796
PGIM India Corporate Bond Fund - Direct Plan - Growth,138330,7.01,6.58,0.24,88,6.77,4.48863636973214,1.0653495440729484,4.166666666666667,0.07460362932459352,0.015185643950956397,-0.03142284045861317,0.014627710517178795,-0.0007336587324530297,0.013039638927351476,0.00824914572064752,7982.847108683244
SBI Corporate Bond Fund - Direct Plan - Growth,146215,7.04,5.44,0.36,24936,6.68,10.1241079233059,1.2941176470588234,2.7777777777777777,0.07523655511599014,0.01687461614016027,-0.029046158211125522,0.014869946976661434,-0.0007223375378479946,0.013945811133916085,0.010235092574999464,5789.943455894641
Sundaram Corporate Bond Fund Direct Plan - Growth,119621,6.87,4.98,0.33,771,6.54,6.648984550024776,1.3795180722891565,3.0303030303030303,0.07612689521036131,0.029768930119054075,-0.11019534228896584,0.034247900380336996,-0.0015678765932925164,0.019123245236054284,0.012856522058842697,2612.842755670199
TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,151320,6.61,2.92,0.25,22,6.36,3.1354942159291497,2.2636986301369864,4.0,0.07662189095102034,0.01234386287513086,-0.005216017953021428,0.009916701012174237,-0.0008537057385206326,0.01162627993830849,0.0034723897859964045,23330.306337184047
Tata Corporate Bond Fund-Direct Plan-Growth,149361,7.19,5.98,0.31,4240,6.880000000000001,8.352554369474591,1.2023411371237458,3.2258064516129035,0.06732892900520326,0.010403028390805076,-0.01694931995298438,0.01153830191170015,-0.0005969897953729264,0.008960946576418959,0.0020889973371301064,46015.307640989486
UTI Corporate Bond Fund - Direct Plan - Growth Option,144339,6.75,3.55,0.26,5708,6.49,8.64979915596426,1.9014084507042255,3.846153846153846,0.07733710613252165,0.017212267884333263,-0.029739243476866163,0.01640578589688969,-0.0008959812259360045,0.014551687489215787,0.010131447385352117,5734.432037156954
Union Corporate Bond Fund - Direct Plan - Growth Option,143241,6.82,5.19,0.41,5,6.41,1.791759469228055,1.3140655105973025,2.4390243902439024,0.06495772594082405,0.028627359077679274,-0.05714708438904407,0.04377131813596338,-0.0009526896603697877,0.022686254085648692,0.019995617782156635,1746.9637282960953
