Date,Franklin India Corporate Debt Fund - Direct - GROWTH,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Sundaram Corporate Bond Fund Direct Plan - Growth,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Invesco India Corporate Bond Fund - Direct Plan - Growth,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,HDFC Corporate Bond Fund - Growth Option - Direct Plan,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Kotak Corporate Bond Fund- Direct Plan- Growth Option,BANDHAN Corporate Bond Fund - Direct Growth,PGIM India Corporate Bond Fund - Direct Plan - Growth,Axis Corporate Bond Fund - Direct Plan Growth,Union Corporate Bond Fund - Direct Plan - Growth Option,UTI Corporate Bond Fund - Direct Plan - Growth Option,DSP Corporate Bond Fund - Direct - Growth,SBI Corporate Bond Fund - Direct Plan - Growth,Mirae Asset Corporate Bond Fund Direct Growth Plan,Tata Corporate Bond Fund-Direct Plan-Growth,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,HSBC Corporate Bond Fund - Direct Growth,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH
2013-01-01,38.9157,,,,,,12.4504,,,,,,,,,,,,,,
2013-01-02,38.9381,23.8807,,42.5243,1378.21,,12.4584,,,,,,,,,,,,,,
2013-01-03,38.9939,23.8867,,42.5392,1380.41,11.6079,12.4678,,,,,,,,,,,,,,
2013-01-04,39.0279,23.8925,,42.5567,1382.48,11.6112,12.4786,,,,,,,,,,,,,,
2013-01-07,39.0827,23.9094,,42.6007,1385.8,11.6197,12.4843,,,,,,,,,,,,,,
2013-01-08,39.0946,23.9145,,42.6146,1386.39,11.6219,12.4908,,,,,,,,,,,,,,
2013-01-09,39.1075,23.9199,,42.6232,1387.39,11.6235,12.4972,,,,,,,,,,,,,,
2013-01-10,39.1618,23.9256,,42.6596,1389.2,11.6266,12.506,,,,,,,,,,,,,,
2013-01-11,39.1954,23.9323,,42.6672,1390.99,11.6306,12.5175,,,,,,,,,,,,,,
2013-01-14,39.2999,23.9528,,42.7207,1397.6,11.6397,12.5449,,,,,,,,,,,,,,
2013-01-15,39.2676,23.9597,,42.7257,1395.46,11.643,12.5426,,,,,,,,,,,,,,
2013-01-16,39.2122,23.963,,42.7158,1390.6,11.6451,12.5255,,,,,,,,,,,,,,
2013-01-17,39.2339,23.9684,,42.7316,1391.75,11.6479,12.5265,,,,,,,,,,,,,,
2013-01-18,39.2397,23.9729,,42.7388,1390.7,11.6508,12.5289,,,,,,,,,,,,,,
2013-01-21,39.2503,23.9877,,42.7686,1390.63,11.6587,12.5385,,,,,,,,,,,,,,
2013-01-22,39.2648,23.9925,,42.7692,1390.97,11.6609,12.5417,,,,,,,,,,,,,,
2013-01-23,39.2533,23.9967,,42.7712,1389.45,11.6632,12.5442,,,,,,,,,,,,,,
2013-01-24,39.257,24.0008,,42.7869,1388.49,11.6664,12.5472,,,,,,,,,,,,,,
2013-01-28,39.295,24.0217,,42.822,1390.73,11.6769,12.5594,,,,,,,,,,,,,,
2013-01-29,39.3268,24.028,,42.8421,1390.19,11.6809,12.5706,,,,,,,,,,,,,,
2013-01-30,39.2855,24.0279,,42.8402,1387.89,11.6815,12.5711,,,,,,,,,,,,,,
2013-01-31,39.2398,24.0236,,42.8216,1386.01,11.68,12.5596,,,,,,,,,,,,,,
2013-02-01,39.2158,24.0199,,42.8143,1386.53,11.6808,12.5534,,,,,,,,,,,,,,
2013-02-04,39.2113,24.03,,42.8229,1385.31,11.6858,12.5383,,,,,,,,,,,,,,
2013-02-05,39.2188,24.0339,,42.8249,1386.25,11.6873,12.5426,,,,,,,,,,,,,,
2013-02-06,39.2297,24.0408,,42.8258,1387.78,11.6902,12.5445,,,,,,,,,,,,,,
2013-02-07,39.3085,24.0472,,42.8621,1391.23,11.6942,12.5627,,,,,,,,,,,,,,
2013-02-08,39.3216,24.0517,,42.8762,1393.63,11.6973,12.5691,,,,,,,,,,,,,,
2013-02-11,39.3326,24.0669,,42.9005,1394.07,11.7043,12.5743,,,,,,,,,,,,,,
2013-02-12,39.3347,24.0682,,42.8977,1393.31,11.7061,12.5718,,,,,,,,,,,,,,
2013-02-13,39.3531,24.0692,,42.9047,1395.43,11.7074,12.568,,,,,,,,,,,,,,
2013-02-14,39.348,24.0602,,42.8986,1396.97,11.706,12.5684,,,,,,,,,,,,,,
2013-02-15,39.3323,24.0562,,42.901,1396.38,11.7068,12.5714,,,,,,,,,,,,,,
2013-02-18,39.3416,24.0714,,42.9273,1397.09,11.7142,12.5743,,,,,,,,,,,,,,
2013-02-20,39.3857,24.0901,,42.953,1399.12,11.7202,12.5812,,,,,,,,,,,,,,
2013-02-21,39.3781,24.096,,42.9609,1398.5,11.7231,12.5789,,,,,,,,,,,,,,
2013-02-22,39.3755,24.1034,,42.9563,1399.42,11.7259,12.5769,,,,,,,,,,,,,,
2013-02-25,39.3873,24.1181,,42.9772,1399.86,11.7365,12.5852,,,,,,,,,,,,,,
2013-02-26,39.3693,24.1186,,42.9795,1398.58,11.7391,12.5883,,,,,,,,,,,,,,
2013-02-27,39.3932,24.1232,,42.9926,1399.26,11.7414,12.5887,,,,,,,,,,,,,,
2013-02-28,39.2888,24.1284,,42.989,1394.49,11.7436,12.5821,,,,,,,,,,,,,,
2013-03-01,39.2713,24.1365,,43.0027,1393.71,11.7475,12.585,,,,,,,,,,,,,,
2013-03-04,39.3111,24.1548,,43.0388,1395.64,11.7555,12.5928,,,,,,,,,,,,,,
2013-03-05,39.3331,24.1658,,43.0599,1396.58,11.7605,12.5961,,,,,,,,,,,,,,
2013-03-06,39.388,24.1789,,43.0914,1397.94,11.768,12.6083,,,,,,,,,,,,,,
2013-03-07,39.4094,24.1859,,43.1109,1398.44,11.7718,12.6195,,,,,,,,,,,,,,
2013-03-08,39.4441,24.1891,,43.1254,1399.74,11.7755,12.6266,,,,,,,,,,,,,,
2013-03-11,39.4654,24.2049,,43.1492,1400.33,11.7843,12.6318,,,,,,,,,,,,,,
2013-03-12,39.4219,24.217,,43.1596,1397.83,11.7919,12.6299,,,,,,,,,,,,,,
2013-03-13,39.4184,24.235,,43.1853,1397.5,11.802,12.648,,,,,,,,,,,,,,
2013-03-14,39.5221,24.257,,43.2532,1400.65,11.8155,12.6668,,,,,,,,,,,,,,
2013-03-15,39.5578,24.2608,,43.2713,1401.3,11.8196,12.6764,,,,,,,,,,,,,,
2013-03-18,39.55,24.279,,43.2915,1400.84,11.828,12.6757,,,,,,,,,,,,,,
2013-03-19,39.5056,24.29,,43.2912,1400.07,11.8315,12.6726,,,,,,,,,,,,,,
2013-03-20,39.4903,24.3049,,43.3155,1399.45,11.8388,12.6756,,,,,,,,,,,,,,
2013-03-21,39.5027,24.3121,,43.3419,1399.27,11.8443,12.6807,,,,,,,,,,,,,,
2013-03-22,39.4708,24.3194,,43.3503,1398.5,11.8488,12.6817,,,,,,,,,,,,,,
2013-03-25,39.5165,24.3346,,43.3857,1399.65,11.8569,12.6967,,,,,,,,,,,,,,
2013-03-26,39.4952,24.3342,,43.3788,1399.19,11.8543,12.7009,,,,,,,,,,,,,,
2013-03-28,39.5419,24.3501,,43.4139,1400.19,11.8604,12.7075,,,,,,,,,,,,,,
2013-04-02,39.5795,24.4197,,43.5237,1402.69,11.8975,12.737,,,,,,,,,,,,,,
2013-04-03,39.641,24.4255,,43.5412,1403.6,11.8992,12.7548,,,,,,,,,,,,,,
2013-04-04,39.6729,24.44,,43.5698,1404.87,11.9062,12.7626,,,,,,,,,,,,,,
2013-04-05,39.721,24.4424,,43.5797,1405.37,11.9058,12.7706,,,,,,,,,,,,,,
2013-04-08,39.8096,24.454,,43.6141,1406.53,11.9111,12.7782,,,,,,,,,,,,,,
2013-04-09,39.8665,24.456,,43.6268,1407.18,11.9119,12.7845,,,,,,,,,,,,,,
2013-04-10,39.8696,24.4625,,43.6414,1407.71,11.9152,12.7881,,,,,,,,,,,,,,
2013-04-12,39.9482,24.4829,,43.6819,1409.07,11.9257,12.7963,,,,,,,,,,,,,,
2013-04-15,40.0664,24.5087,,43.7196,1411.55,11.9376,12.8109,,,,,,,,,,,,,,
2013-04-16,40.1552,24.519,,43.7442,1412.9,11.9438,12.8246,,,,,,,,,,,,,,
2013-04-17,40.2141,24.5218,,43.7681,1413.85,11.9401,12.8382,,,,,,,,,,,,,,
2013-04-18,40.3223,24.5478,,43.802,1415.14,11.9497,12.8525,,,,,,,,,,,,,,
2013-04-22,40.398,24.5665,,43.8448,1418.2655,11.9581,12.8667,,,,,,,,,,,,,,
2013-04-23,40.4515,24.5753,,43.8632,1419.7256,11.9626,12.8738,,,,,,,,,,,,,,
2013-04-25,40.4223,24.5925,,43.8949,1420.0886,11.9706,12.8853,,,,,,,,,,,,,,
2013-04-26,40.4579,24.5976,,43.9108,1420.9749,11.9733,12.8899,,,,,,,,,,,,,,
2013-04-29,40.4744,24.6134,,43.9399,1421.4749,11.9826,12.8975,,,,,,,,,,,,,,
2013-04-30,40.5591,24.6213,,43.9758,1425.0904,11.987,12.9211,,,,,,,,,,,,,,
2013-05-02,40.6258,24.6453,,44.0348,1428.0664,12.0025,12.9407,,,,,,,,,,,,,,
2013-05-03,40.5836,24.6477,,44.0457,1426.8347,11.9977,12.9611,,,,,,,,,,,,,,
2013-05-06,40.6568,24.667,,44.0821,1429.4581,12.0067,12.9636,,,,,,,,,,,,,,
2013-05-07,40.723,24.6737,,44.0939,1430.9211,12.0097,12.977,,,,,,,,,,,,,,
2013-05-08,40.8777,24.6902,,44.1224,1433.5224,12.0183,12.9858,,,,,,,,,,,,,,
2013-05-09,41.147,24.7044,,44.166,1439.4865,12.024,13.0022,,,,,,,,,,,,,,
2013-05-10,41.2143,24.708,,44.1729,1440.366,12.026,13.013,,,,,,,,,,,,,,
2013-05-13,41.2544,24.723,17.0093,44.2125,1442.0286,12.0337,13.0211,,,,,,,,,,,,,,
2013-05-14,41.5649,24.7353,17.0132,44.2731,1449.0412,12.039,13.0551,,,,,,,,,,,,,,
2013-05-15,41.712,24.7499,17.016,44.3256,1455.2442,12.0463,13.076,,,,,,,,,,,,,,
2013-05-16,41.7897,24.7578,17.0257,44.3383,1458.8905,12.0503,13.0866,,,,,,,,,,,,,,
2013-05-17,41.8131,24.7689,17.03,44.3516,1459.9134,12.0559,13.0839,,,,,,,,,,,,,,
2013-05-20,41.8818,24.7811,17.0398,44.372,1460.9615,12.0619,13.0961,,,,,,,,,,,,,,
2013-05-21,41.9021,24.791,17.0415,44.3931,1462.9325,12.0659,13.0998,,,,,,,,,,,,,,
2013-05-22,41.8912,24.7911,17.0458,44.3919,1462.6769,12.0661,13.0986,,,,,,,,,,,,,,
2013-05-23,41.857,24.7893,17.0381,44.376,1461.0792,12.0653,13.0878,,,,,,,,,,,,,,
2013-05-24,41.9246,24.7922,17.0379,44.3852,1463.4201,12.0665,13.0908,,,,,,,,,,,,,,
2013-05-27,41.9577,24.8071,17.0401,44.4112,1464.4359,12.074,13.0932,,,,,,,,,,,,,,
2013-05-28,41.9594,24.8087,17.047,44.4115,1463.9808,12.075,13.0857,,,,,,,,,,,,,,
2013-05-29,41.8865,24.8077,17.028,44.3777,1461.3152,12.0752,13.0649,,,,,,,,,,,,,,
2013-05-30,41.8541,24.81,17.0446,44.3922,1460.0017,12.0764,13.0647,,,,,,,,,,,,,,
2013-05-31,41.7852,24.8117,16.9889,44.3808,1456.2509,12.0782,13.0573,,,,,,,,,,,,,,
2013-06-03,41.8421,24.8292,17.0225,44.417,1458.1832,12.086,13.0731,,,,,,,,,,,,,,
2013-06-04,41.8965,24.8353,17.0296,44.4334,1459.8732,12.0891,13.0865,,,,,,,,,,,,,,
2013-06-05,41.9043,24.8466,17.0412,44.4563,1460.3726,12.0942,13.096,,,,,,,,,,,,,,
2013-06-06,41.9066,24.855,17.0256,44.4668,1459.6729,12.0983,13.0971,,,,,,,,,,,,,,
2013-06-07,41.8575,24.86,17.0051,44.463,1458.3957,12.1012,13.0947,,,,,,,,,,,,,,
2013-06-10,41.8194,24.8647,16.9922,44.4694,1455.7126,12.1061,13.083,,,,,,,,,,,,,,
2013-06-11,41.7671,24.862,16.9497,44.4366,1452.2458,12.106,13.0648,,,,,,,,,,,,,,
2013-06-12,41.7393,24.8578,16.8992,44.4351,1450.9514,12.1044,13.0639,,,,,,,,,,,,,,
2013-06-13,41.7477,24.8621,16.9008,44.4402,1450.4657,12.1065,13.0598,,,,,,,,,,,,,,
2013-06-14,41.7712,24.8669,16.9256,44.4521,1451.8134,12.1088,13.0698,,,,,,,,,,,,,,
2013-06-17,41.8506,24.8866,17.0008,44.503,1456.5883,12.1171,13.0999,,,,,,,,,,,,,,
2013-06-18,41.8365,24.9036,16.999,44.5426,1456.8592,12.1272,13.1045,,,,,,,,,,,,,,
2013-06-19,41.8406,24.9147,16.9904,44.5484,1457.2331,12.1321,13.1087,,,,,,,,,,,,,,
2013-06-20,41.6256,24.9044,16.8569,44.5024,1447.4679,12.1269,13.071,,,,,,,,,,,,,,
2013-06-21,41.6112,24.9103,16.7872,44.4957,1446.3394,12.1298,13.0589,,,,,,,,,,,,,,
2013-06-24,41.6481,24.9187,16.7311,44.4775,1442.2246,12.1352,13.0287,,,,,,,,,,,,,,
2013-06-25,41.6478,24.9221,16.6966,44.4707,1441.2191,12.1362,13.0307,,,,,,,,,,,,,,
2013-06-26,41.5747,24.9234,16.6015,44.4367,1437.196,12.1381,13.0132,,,,,,,,,,,,,,
2013-06-27,41.554,24.9295,16.5365,44.4373,1436.3628,12.142,12.9998,,,,,,,,,,,,,,
2013-06-28,41.7335,24.9587,16.7149,44.5187,1443.9305,12.1533,13.052,,,,,,,,,,,,,,
2013-07-02,41.7479,24.9806,16.7203,44.5748,1444.3436,12.1625,13.0701,,,,,,,,,,,,,,
2013-07-03,41.6627,24.9783,16.6132,44.5458,1439.6484,12.1625,13.0542,,,,,,,,,,,,,,
2013-07-04,41.7314,24.9921,16.6651,44.591,1441.9186,12.1695,13.0626,,,,,,,,,,,,,,
2013-07-05,41.718,24.9974,16.6545,44.5934,1441.4205,12.1717,13.061,,,,,,,,,,,,,,
2013-07-08,41.6386,25.0057,16.5541,44.5834,1438.0147,12.1768,13.0478,,,,,,,,,,,,,,
2013-07-09,41.6595,25.0112,16.5796,44.5989,1439.3181,12.1791,13.0494,,,,,,,,,,,,,,
2013-07-10,41.654,25.015,16.5655,44.5965,1439.586,12.1808,13.0494,,,,,,,,,,,,,,
2013-07-11,41.7004,25.021,16.6133,44.6207,1441.2246,12.1826,13.0607,,,,,,,,,,,,,,
2013-07-12,41.6924,25.024,16.5999,44.624,1439.8646,12.1844,13.0563,,,,,,,,,,,,,,
2013-07-15,41.6526,25.0343,16.5404,44.6251,1439.3779,12.1911,13.0516,,,,,,,,,,,,,,
2013-07-16,40.7966,24.8129,15.9039,44.1074,1422.2681,12.092,12.799,,,,,,,,,,,,,,
2013-07-17,40.7818,24.8318,15.9065,44.0919,1421.6668,12.1077,12.7934,,,,,,,,,,,,,,
2013-07-18,41.0015,24.8956,16.0584,44.1941,1427.8409,12.1353,12.8389,,,,,,,,,,,,,,
2013-07-19,41.149,24.9031,16.1422,44.2217,1431.6478,12.136,12.8671,,,,,,,,,,,,,,
2013-07-22,41.034,24.9047,16.0297,44.2299,1423.7965,12.139,12.8498,,,,,,,,,,,,,,
2013-07-23,40.8253,24.8418,15.8974,44.1313,1418.7062,12.116,12.7845,,,,,,,,,,,,,,
2013-07-24,40.6079,24.7432,15.7676,43.9835,1414.7209,12.0732,12.718,,,,,,,,,,,,,,
2013-07-25,40.8793,24.7659,15.8822,44.0386,1417.5576,12.085,12.7534,,,,,,,,,,,,,,
2013-07-26,41.0423,24.787,16.0516,44.0762,1421.5417,12.0957,12.7727,,,,,,,,,,,,,,
2013-07-29,41.0688,24.807,16.043,44.0987,1421.6925,12.1062,12.7902,,,,,,,,,,,,,,
2013-07-30,40.8444,24.8123,16.0123,44.0921,1419.7796,12.1092,12.7837,,,,,,,,,,,,,,
2013-07-31,40.8269,24.806,15.8968,44.0299,1416.935,12.1085,12.7474,,,,,,,,,,,,,,
2013-08-01,41.0691,24.8225,16.0114,44.0997,1420.3653,12.1177,12.7809,,,,,,,,,,,,,,
2013-08-02,40.7882,24.8409,15.9625,44.1016,1418.2531,12.1247,12.7763,,,,,,,,,,,,,,
2013-08-05,40.9559,24.8713,16.0245,44.1805,1421.9621,12.1381,12.8009,,,,,,,,,,,,,,
2013-08-06,40.8834,24.8572,15.9453,44.1621,1420.2521,12.1346,12.7973,,,,,,,,,,,,,,
2013-08-07,40.9973,24.8699,16.0068,44.2104,1422.3965,12.1394,12.8288,,,,,,,,,,,,,,
2013-08-08,41.0756,24.8813,16.0289,44.2522,1424.572,12.1435,12.8412,,,,,,,,,,,,,,
2013-08-12,40.7408,24.8826,15.94,44.2365,1421.9961,12.1425,12.8289,,,,,,,,,,,,,,
2013-08-13,40.4707,24.8732,15.7967,44.1776,1418.6645,12.1404,12.7942,,,,,,,,,,,,,,
2013-08-14,40.2521,24.8547,15.6905,44.1293,1415.2282,12.1344,12.7597,,,,,,,,,,,,,,
2013-08-16,39.5927,24.8266,15.4819,44.1015,1411.6803,12.1284,12.7315,,,,,,,,,,,,,,
2013-08-19,38.8711,24.788,15.1685,43.9592,1403.9953,12.1238,12.5839,,,,,,,,,,,,,,
2013-08-20,39.5148,24.7706,15.4069,43.9728,1406.6855,12.1186,12.6353,,,,,,,,,,,,,,
2013-08-21,40.6549,24.8581,15.9244,44.1809,1416.9285,12.153,12.745,,,,,,,,,,,,,,
2013-08-22,40.9572,24.8521,16.0023,44.1513,1415.1164,12.1509,12.7332,,,,,,,,,,,,,,
2013-08-23,40.8954,24.8701,15.9774,44.2252,1418.3715,12.1584,12.7723,,,,,,,,,,,,,,
2013-08-26,40.8508,24.8883,16.0411,44.233,1418.9023,12.1702,12.7829,,,,,,,,,,,,,,
2013-08-27,40.2049,24.8772,15.7576,44.1703,1413.3549,12.1645,12.7288,,,,,,,,,,,,,,
2013-08-28,39.9049,24.8388,15.6065,44.0832,1407.0564,12.1489,12.6768,,,,,,,,,,,,,,
2013-08-29,40.0546,24.8263,15.5878,44.0819,1410.4282,12.146,12.6986,,,,,,,,,,,,,,
2013-08-30,40.2364,24.8602,15.7143,44.1659,1416.1255,12.1583,12.736,,,,,,,,,,,,,,
2013-09-02,40.4132,24.901,15.8092,44.2647,1421.4033,12.1758,12.7793,,,,,,,,,,,,,,
2013-09-03,40.4001,24.9249,15.8133,44.3006,1420.6838,12.1885,12.7837,,,,,,,,,,,,,,
2013-09-04,40.5743,24.956,15.9334,44.3668,1425.5547,12.2028,12.8238,,,,,,,,,,,,,,
2013-09-05,40.7015,25.0402,16.0265,44.4832,1431.0505,12.236,12.8767,,,,,,,,,,,,,,
2013-09-06,40.654,25.033,15.9942,44.4857,1428.4694,12.2338,12.8752,,,,,,,,,,,,,,
2013-09-10,40.7128,25.0761,15.9691,44.5306,1431.6582,12.2501,12.9011,,,,,,,,,,,,,,
2013-09-11,40.747,25.0833,15.9827,44.5681,1433.3384,12.2539,12.9146,,,,,,,,,,,,,,
2013-09-12,40.7053,25.0869,15.9608,44.5765,1432.9602,12.2574,12.9173,,,,,,,,,,,,,,
2013-09-13,40.69,25.0864,15.9437,44.5909,1432.5044,12.2568,12.912,,,,,,,,,,,,,,
2013-09-16,40.7745,25.1097,16.0207,44.6478,1435.0305,12.2673,12.9389,,,,,,,,,,,,,,
2013-09-17,40.8214,25.1173,16.0988,44.6498,1435.7022,12.2708,12.9517,,,,,,,,,,,,,,
2013-09-18,40.8438,25.1507,16.0905,44.7624,1438.7259,12.2857,12.9788,,,,,,,,,,,,,,
2013-09-19,41.0348,25.2145,16.2746,44.8398,1447.8357,12.3102,13.0377,,,,,,,,,,,,,,
2013-09-20,40.8431,25.249,16.0324,44.8167,1438.3714,12.319,13.0122,,,,,,,,,,,,,,
2013-09-23,40.6708,25.2541,15.8422,44.8396,1429.3704,12.3241,12.9758,,,,,,,,,,,,,,
2013-09-24,40.6408,25.2606,15.816,44.8468,1428.5726,12.328,12.9637,,,,,,,,,,,,,,
2013-09-25,40.6836,25.2783,15.8298,44.8667,1431.2433,12.3339,12.9793,,,,,,,,,,,,,,
2013-09-26,40.7938,25.2925,15.9339,44.872,1435.4562,12.3417,12.9996,,,,,,,,,,,,,,
2013-09-27,40.8158,25.3011,15.9322,44.8999,1436.0119,12.3459,13.0135,,,,,,,,,,,,,,
2013-09-30,40.8393,25.324,15.9891,44.9366,1436.1827,12.357,13.0255,,,,,,,,,,,,,,
2013-10-01,40.8769,25.3388,15.9946,44.9573,1436.5605,12.3613,13.0308,,,,,,,,,,,,,,
2013-10-03,41.0113,25.3634,16.0253,45.0608,1440.5169,12.3715,13.0633,,,,,,,,,,,,,,
2013-10-04,41.146,25.3881,16.073,45.1254,1444.2751,12.3793,13.0884,,,,,,,,,,,,,,
2013-10-07,41.1728,25.416,16.1102,45.1797,1444.406,12.392,13.1081,,,,,,,,,,,,,,
2013-10-08,41.5399,25.474,16.2439,45.3208,1453.5077,12.4147,13.1703,,,,,,,,,,,,,,
2013-10-09,41.6181,25.4763,16.2581,45.2761,1454.5269,12.4137,13.1617,,,,,,,,,,,,,,
2013-10-10,41.6566,25.484,16.2611,45.2661,1452.4682,12.4152,13.1661,,,,,,,,,,,,,,
2013-10-11,41.6242,25.4865,16.2659,45.2792,1452.0773,12.4163,13.1703,,,,,,,,,,,,,,
2013-10-14,41.4913,25.5005,16.1967,45.2852,1450.831,12.4242,13.1651,,,,,,,,,,,,,,
2013-10-15,41.3591,25.4917,16.144,45.2311,1446.7234,12.4223,13.1287,,,,,,,,,,,,,,
2013-10-17,41.4751,25.5054,16.1894,45.2661,1449.4541,12.4294,13.1511,,,,,,,,,,,,,,
2013-10-18,41.569,25.5167,16.2421,45.3408,1451.8321,12.4337,13.1808,,,,,,,,,,,,,,
2013-10-21,41.552,25.5366,16.2376,45.3774,1451.2899,12.448,13.19,,,,,,,,,,,,,,
2013-10-22,41.5349,25.5433,16.2283,45.3994,1451.4385,12.4518,13.1937,,,,,,,,,,,,,,
2013-10-23,41.524,25.5463,16.229,45.4064,1451.5137,12.4535,13.1962,,,,,,,,,,,,,,
2013-10-24,41.5588,25.551,16.2291,45.4086,1452.4751,12.4565,13.1981,,,,,,,,,,,,,,
2013-10-25,41.5739,25.5585,16.2373,45.4162,1452.4214,12.4597,13.1977,,,,,,,,,,,,,,
2013-10-28,41.543,25.5754,16.251,45.4403,1452.0499,12.4694,13.198,,,,,,,,,,,,,,
2013-10-29,41.668,25.5961,16.2519,45.4815,1455.0187,12.4784,13.2161,,,,,,,,,,,,,,
2013-10-30,41.8272,25.6016,16.272,45.4884,1454.8356,12.483,13.2188,,,,,,,,,,,,,,
2013-10-31,41.8122,25.6096,16.2796,45.4955,1454.3056,12.4863,13.2189,,,,,,,,,,,,,,
2013-11-01,41.7552,25.6134,16.2464,45.4985,1453.4628,12.4881,13.2177,,,,,,,,,,,,,,
2013-11-05,41.7811,25.6384,16.2183,45.5411,1454.0065,12.5004,13.2302,,,,,,,,,,,,,,
2013-11-06,41.7001,25.6418,16.1684,45.5412,1452.7186,12.5019,13.2192,,,,,,,,,,,,,,
2013-11-07,41.6503,25.6312,16.1584,45.5082,1450.5219,12.4984,13.2021,,,,,,,,,,,,,,
2013-11-08,41.5541,25.6341,16.1266,45.5048,1448.3453,12.5004,13.1928,,,,,,,,,,,,,,
2013-11-11,41.572,25.6388,16.0694,45.4818,1446.6472,12.5053,13.1668,,,,,,,,,,,,,,
2013-11-12,41.4332,25.6338,16.0425,45.4701,1443.3536,12.5044,13.1596,,,,,,,,,,,,,,
2013-11-13,41.6367,25.63,16.1215,45.4253,1446.9465,12.5017,13.1503,,,,,,,,,,,,,,
2013-11-14,41.6,25.6302,16.0919,45.4256,1444.4243,12.5005,13.143,,,,,,,,,,,,,,
2013-11-18,41.6624,25.6594,16.1018,45.4773,1445.8853,12.5143,13.1686,,,,,,,,,,,,,,
2013-11-19,41.7525,25.6717,16.1285,45.5209,1447.8025,12.5194,13.191,,,,,,,,,,,,,,
2013-11-20,41.7488,25.6822,16.1279,45.5487,1447.948,12.5239,13.1934,,,,,,,,,,,,,,
2013-11-21,41.722,25.6836,16.1217,45.5588,1447.2256,12.5256,13.1956,,,,,,,,,,,,,,
2013-11-22,41.7389,25.6927,16.1304,45.5785,1447.3076,12.5297,13.2,,,,,,,,,,,,,,
2013-11-25,41.8124,25.7164,16.1979,45.6222,1448.5733,12.5412,13.2251,,,,,,,,,,,,,,
2013-11-26,41.8651,25.7246,16.242,45.6478,1450.6291,12.5469,13.2475,,,,,,,,,,,,,,
2013-11-27,41.9126,25.7374,16.2757,45.6823,1452.4454,12.5519,13.2617,,,,,,,,,,,,,,
2013-11-28,41.936,25.7477,16.304,45.7152,1453.3352,12.5558,13.2753,,,,,,,,,,,,,,
2013-11-29,41.9365,25.7554,16.3116,45.7296,1452.2649,12.5642,13.2763,,,,,,,,,,,,,,
2013-12-02,41.9778,25.7764,16.3346,45.7715,1453.7107,12.5742,13.2912,,,,,,,,,,,,,,
2013-12-03,41.9835,25.7846,16.3336,45.7914,1453.4819,12.5811,13.2968,,,,,,,,,,,,,,
2013-12-04,41.9893,25.7935,16.3321,45.8101,1453.045,12.585,13.3016,,,,,,,,,,,,,,
2013-12-05,42.0112,25.8155,16.3338,45.8639,1453.9322,12.5922,13.3193,,,,,,,,,,,,,,
2013-12-06,41.9953,25.817,16.327,45.8642,1451.8204,12.5931,13.3204,,,,,,,,,,,,,,
2013-12-09,41.9479,25.8243,16.2742,45.8584,1449.0565,12.5993,13.3149,,,,,,,,,,,,,,
2013-12-10,41.9767,25.8279,16.2993,45.8632,1450.6672,12.6012,13.3157,,,,,,,,,,,,,,
2013-12-11,41.9917,25.8366,16.312,45.8831,1451.3753,12.6051,13.3258,,,,,,,,,,,,,,
2013-12-12,42.0111,25.8586,16.3138,45.9232,1451.9148,12.6148,13.3362,,,,,,,,,,,,,,
2013-12-13,41.9453,25.8476,16.2649,45.8805,1448.1207,12.612,13.3149,,,,,,,,,,,,,,
2013-12-16,41.9854,25.8671,16.2834,45.9316,1450.1425,12.6216,13.3276,,,,,,,,,,,,,,
2013-12-17,41.9787,25.8741,16.2812,45.9379,1449.3018,12.6256,13.3303,,,,,,,,,,,,,,
2013-12-18,42.0527,25.8855,16.3106,45.9831,1454.0828,12.6301,13.3509,,,,,,,,,,,,,,
2013-12-19,42.0837,25.8906,16.3243,45.9989,1457.0074,12.6334,13.3559,,,,,,,,,,,,,,
2013-12-20,42.0908,25.8964,16.3436,45.9999,1455.9923,12.6363,13.356,,,,,,,,,,,,,,
2013-12-23,42.126,25.9131,16.3739,46.0305,1455.8718,12.6452,13.367,,,,,,,,,,,,,,
2013-12-24,42.1162,25.9186,16.3623,46.0264,1454.1842,12.648,13.3599,,,,,,,,,,,,,,
2013-12-26,42.1288,25.9338,16.3565,46.0403,1454.5003,12.6544,13.3665,,,,,,,,,,,,,,
2013-12-27,42.1195,25.9361,16.3557,46.0362,1453.0397,12.6561,13.3653,,,,,,,,,,,,,,
2013-12-30,42.1546,25.9512,16.3674,46.0753,1456.3569,12.6645,13.371,,,,,,,,,,,,,,
2013-12-31,42.1865,25.9617,16.3947,46.1026,1457.7582,12.6713,13.3801,,,,,,,,,,,,,,
2014-01-01,42.2022,25.9738,16.396,46.127,1457.5697,12.6772,13.3857,,,,,,,,,,,,,,
2014-01-02,42.2412,25.9832,16.4305,46.1597,1458.6978,12.6809,13.3985,,,,,,,,,,,,,,
